N°,Codigo,Nombres,Apellidos,Facultad,Carrera ,Correo,CELULAR
33,20154321,Sherri,Mcdonald,Ciencias,Biología,20154321@universidad.edu.com,973116495
15,20145860,Don,Black,Agronomía,Agronomía,20145860@universidad.edu.com,930529138
22,20107681,Rebecca,Hall,Ciencias Forestales,Ing. Forestal,20107681@universidad.edu.com,949807552
29,20101430,Derek,Smith,Industrias Alimentarias,Ing. Industrias Alimentarias,20101430@universidad.edu.com,955855629
39,20169279,Benjamin,Underwood,Pesquería,Pesquería ,20169279@universidad.edu.com,930330680
13,20174056,Timothy,Snyder,Ciencias,Meteorología,20174056@universidad.edu.com,948292040
2,20153633,Dustin,Jackson,Agronomía,Agronomía,20153633@universidad.edu.com,945647547
35,20137831,Jose,Griffin,Ing. Agrícola,Ing. Agrícola,20137831@universidad.edu.com,991580355
38,20129736,Sharon,Schmidt,Economía y Planificación,Ing. Gestión Empresarial,20129736@universidad.edu.com,993263729
28,20139105,Matthew,Nunez,Industrias Alimentarias,Ing. Industrias Alimentarias,20139105@universidad.edu.com,954427452
3,20186139,Anna,Smith,Agronomía,Agronomía,20186139@universidad.edu.com,927212998
1,20102784,Brandon,Roberts,Agronomía,Agronomía,20102784@universidad.edu.com,901219488
7,20161210,Michael,Collins,Ciencias,Ingeniería Ambiental,20161210@universidad.edu.com,980881270
26,20117697,Krystal,Dean,Industrias Alimentarias,Ing. Industrias Alimentarias,20117697@universidad.edu.com,992111658
37,20192738,Jasmine,West,Pesquería,Pesquería,20192738@universidad.edu.com,987198801
25,20184340,Ricardo,Douglas,Industrias Alimentarias,Ing. Industrias Alimentarias,20184340@universidad.edu.com,954202751
4,20185250,Kim,Neal,Agronomía,Agronomía,20185250@universidad.edu.com,959520726
20,20117911,Stephanie,Parker,Ciencias Forestales,Ing. Forestal,20117911@universidad.edu.com,936823914
30,20148539,Kevin,Anderson,Industrias Alimentarias,Ing. Industrias Alimentarias,20148539@universidad.edu.com,993068613
27,20138855,Scott,Gonzales,Ing. Agrícola,Ing. Agrícola,20138855@universidad.edu.com,965158574
24,20157671,Michael,Roberts,Pesquería,Pesquería ,20157671@universidad.edu.com,993395181
36,20101744,Lindsay,Hampton,Ing. Agrícola,Ing. Agrícola,20101744@universidad.edu.com,968065780
31,20129376,John,Robinson,Industrias Alimentarias,Ing. Industrias Alimentarias,20129376@universidad.edu.com,999201164
11,20195967,Daniel,Stone,Ciencias,Ing. Ambiental,20195967@universidad.edu.com,999089027
18,20194741,John,Brenda,Economía y Planificación,Ing. Gestión Empresarial,20194741@universidad.edu.com,992460066
21,20192402,Krista,Snyder,Ciencias Forestales,Ing. Forestal,20192402@universidad.edu.com,941575728
40,20180196,Jessica,Rodgers,Agronomía,Agronomía,20180196@universidad.edu.com,972560516
6,20163288,John,Carter,Zootecnia,Zootecnia,20163288@universidad.edu.com,924534990
8,20196535,Christopher,Freeman,Ciencias,Meteorología,20196535@universidad.edu.com,914638645
19,20186677,Kelsey,Padilla,Ciencias Forestales,Ing. Forestal,20186677@universidad.edu.com,991692105
32,20158222,Janet,Lawrence,Ingeniería Agricola,Ing. Agricola,20158222@universidad.edu.com,978803880
34,20112694,Jennifer,Taylor,Ingeniería Agricola,Ing. Agricola,20112694@universidad.edu.com,952501601
5,20168995,Samuel,Huffman,Agronomía,Agronomía,20168995@universidad.edu.com,984691312
14,20167026,Tammy,Gay,Ciencias,Meteorología,20167026@universidad.edu.com,947746796
16,20152761,Tracy,Cooper,Ciencias,Biología,20152761@universidad.edu.com,980677114
12,20152768,Joseph,Farrell,Pesquería,Pesquería ,20152768@universidad.edu.com,994810025
9,20142699,Eric,Mitchell,Ciencias,Ing. Ambiental,20142699@universidad.edu.com,960335668
10,20168367,Kimberly,Waters,Economía y Planificación,Ing. Gestión Empresarial,20168367@universidad.edu.com,981235774
23,20145647,Kyle,Hull,Ciencias Forestales,Ing. Forestal,20145647@universidad.edu.com,980382484
17,20117959,Jessica,King,Ciencias,Ing. Ambiental,20117959@universidad.edu.com,986708960
